rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_len_mean,time/fps,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
-21.444753,8,500,10,0.0,50.0,62,,,,,,
-20.945118099999995,10,1000,20,0.0,50.0,93,,,,,,
-22.5891539,18,1500,30,0.0,50.0,82,-5.6907525062561035,0.861162006855011,0.0411122590303421,0.0003,499,-0.7580187916755676
-22.142139075,26,2000,40,0.0,50.0,74,-7.7747297286987305,0.7412046194076538,0.028384516015648842,0.0003,999,-1.5113041400909424
-22.28977098,36,2500,50,0.0,50.0,69,-9.250112533569336,0.6379660964012146,0.03725707530975342,0.0003,1499,-2.269120454788208
-22.546482033333334,45,3000,60,0.0,50.0,66,-10.41921615600586,0.5491312146186829,0.01803962141275406,0.0003,1999,-3.0327682495117188
-22.297562557142854,54,3500,70,0.0,50.0,63,-11.625231742858887,0.4726864695549011,0.01670648902654648,0.0003,2499,-3.783102512359619
-22.1069978125,63,4000,80,0.0,50.0,62,-12.150208473205566,0.40692025423049927,0.01837094873189926,0.0003,2999,-4.50759744644165
-22.20776032222222,72,4500,90,0.0,50.0,62,-12.279669761657715,0.350331574678421,0.018948715180158615,0.0003,3499,-5.231960773468018
-22.019783489999995,80,5000,100,0.0,50.0,62,-12.303350448608398,0.30166253447532654,0.045019980520009995,0.0003,3999,-5.992578506469727
