rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,0.049787066876888275,500,172,2,50.0,-20.967085400000002,10,,,,,,,,,
0.0,0.049787066876888275,1000,171,5,50.0,-21.8468178,20,,,,,,,,,
0.0,0.049787066876888275,1500,171,8,50.0,-22.3417385,30,,,,,,,,,
0.0,0.049787066876888275,2000,171,11,50.0,-22.134973675,40,,,,,,,,,
0.0,0.049787066876888275,2500,172,14,50.0,-21.74584326,50,,,,,,,,,
0.0,0.049787066876888275,3000,172,17,50.0,-21.600283283333336,60,,,,,,,,,
0.014285714365541935,0.049787066876888275,3464,172,20,49.48571428571429,-21.40113168571428,70,,,,,,,,,
0.012500000186264515,0.049787066876888275,3964,172,22,49.55,-21.505685825,80,,,,,,,,,
0.011111111380159855,0.049787066876888275,4464,172,25,49.6,-21.348717955555554,90,,,,,,,,,
0.009999999776482582,0.049787066876888275,4964,172,28,49.64,-21.532444579999996,100,,,,,,,,,
0.009999999776482582,0.049787066876888275,5464,172,31,49.64,-21.35845706,110,,,,,,,,,
0.009999999776482582,0.049787066876888275,5964,172,34,49.64,-21.133160759999996,120,,,,,,,,,
0.009999999776482582,0.049787066876888275,6464,172,37,49.64,-21.170752940000003,130,,,,,,,,,
0.009999999776482582,0.049787066876888275,6964,172,40,49.64,-20.942501290000006,140,,,,,,,,,
0.009999999776482582,0.049787066876888275,7464,172,43,49.64,-20.903268100000002,150,,,,,,,,,
0.009999999776482582,0.049787066876888275,7964,172,46,49.64,-20.527915889999996,160,,,,,,,,,
0.0,0.049787066876888275,8464,172,48,50.0,-20.453677560000003,170,,,,,,,,,
0.0,0.049787066876888275,8964,172,51,50.0,-20.319098860000004,180,,,,,,,,,
0.0,0.049787066876888275,9464,172,54,50.0,-20.53095795,190,,,,,,,,,
0.0,0.049787066876888275,9964,173,57,50.0,-20.45897707,200,,,,,,,,,
0.0,0.04990848898887634,10464,163,64,50.0,-20.538003990000004,210,460,0.9727513641119003,0.4413086846470833,0.0001,-0.10421674326062202,0.4573971629142761,,,
0.0,0.04996463656425476,10964,155,70,50.0,-20.2533262,220,960,0.9120857119560242,0.7517131268978119,0.0001,-0.4362204447388649,-5.961862921714783,,,
0.0,0.04998558759689331,11464,149,76,50.0,-20.15850481,230,1460,0.8626235276460648,0.591277614235878,0.0001,-0.7498382031917572,-11.673600196838379,,,
0.0,0.04998830705881119,11964,143,83,50.0,-20.53060848,240,1960,0.8183176666498184,0.5607762783765793,0.0001,-1.0332774817943573,-16.569264888763428,,,
0.0,0.04998844116926193,12464,138,89,50.0,-20.946231380000004,250,2460,0.7772872447967529,0.778915748000145,0.0001,-1.3016941845417023,-21.05532932281494,,,
0.0,0.0499923937022686,12964,134,96,50.0,-21.50456451,260,2960,0.7388378977775574,1.9315940737724304,0.0001,-1.4700936079025269,-24.20759677886963,,,
0.0,0.049993447959423065,13464,131,102,50.0,-21.757219180000003,270,3460,0.7023068368434906,0.8660203889012337,0.0001,-1.763922780752182,-27.090272903442383,,,
0.0,0.049998603761196136,13964,127,109,50.0,-21.56434637,280,3960,0.6679377406835556,0.43832606822252274,0.0001,-1.956442505121231,-29.697458267211914,,,
0.0,0.050008177757263184,14464,125,115,50.0,-21.426058800000007,290,4460,0.6352646499872208,0.4232763275504112,0.0001,-2.241387367248535,-31.497528076171875,,,
0.0,0.05001594126224518,14964,122,122,50.0,-21.309382030000005,300,4960,0.6042291224002838,1.6122611463069916,0.0001,-2.461500585079193,-33.214661598205566,,,
0.0,0.05002499744296074,15464,120,128,50.0,-21.554570639999998,310,5460,0.5747023075819016,0.4771573729813099,0.0001,-2.8112406730651855,-34.50173282623291,,,
0.0,0.050027381628751755,15964,118,134,50.0,-21.615376660000003,320,5960,0.5465926229953766,0.9026204384863377,0.0001,-3.146350383758545,-35.60597229003906,,,
0.0,0.05003134533762932,16464,116,141,50.0,-21.734012230000005,330,6460,0.519970178604126,0.7340518981218338,0.0001,-3.000187933444977,-35.041006088256836,,,
0.0,0.050036393105983734,16964,115,147,50.0,-21.29374918,340,6960,0.4945630133152008,0.817883837968111,0.0001,-3.5251665711402893,-35.76341152191162,,,
0.0,0.05004171282052994,17464,113,153,50.0,-20.95480251,350,7460,0.47035088390111923,0.20590809732675552,0.0001,-3.711940348148346,-35.631930351257324,,,
0.0,0.05004506558179855,17964,112,160,50.0,-21.12779031,360,7960,0.4473835825920105,0.3416128344833851,0.0001,-4.034500062465668,-35.518638610839844,,,
0.0,0.05004940927028656,18464,110,166,50.0,-20.920574310000003,370,8460,0.4255352318286896,0.21510706469416618,0.0001,-4.198527812957764,-35.13474750518799,,,
0.0,0.05005549639463425,18964,109,173,50.0,-21.34157364,380,8960,0.4048329293727875,0.23909882083535194,0.0001,-4.546486496925354,-34.83099365234375,,,
