Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-17.381185,50,0.0,0.0,-17.381185
100,2,-17.746235,50,0.0,0.0,-17.381185
150,3,-27.209688,50,0.0,0.0,-17.381185
200,4,-9.325697,50,0.0,0.0,-9.325697
250,5,-30.763735,50,0.0,0.0,-9.325697
300,6,-22.326348,50,0.0,0.0,-9.325697
350,7,-44.326914,50,0.0,0.0,-9.325697
400,8,-12.745663,50,0.0,0.0,-9.325697
450,9,-17.515005,50,0.0,0.0,-9.325697
500,10,-10.330384,50,0.0,0.0,-9.325697
550,11,-26.295721,50,0.0,0.0,-9.325697
600,12,-19.454955,50,0.0,0.0,-9.325697
650,13,-28.993348,50,0.0,0.0,-9.325697
700,14,-50.966692,50,0.0,0.0,-9.325697
750,15,-10.831764,50,0.0,0.0,-9.325697
800,16,-22.164732,50,0.0,0.0,-9.325697
850,17,-19.551565,50,0.0,0.0,-9.325697
900,18,-21.761975,50,0.0,0.0,-9.325697
950,19,-16.025949,50,0.0,0.0,-9.325697
1000,20,-11.218801,50,0.0,0.0,-9.325697
1050,21,-25.578748,50,0.0,0.0,-9.325697
1100,22,-20.862639,50,0.0,0.0,-9.325697
1150,23,-34.645971,50,0.0,0.0,-9.325697
1200,24,-26.300158,50,0.0,0.0,-9.325697
1250,25,-10.943677,50,0.0,0.0,-9.325697
1300,26,-20.240845,50,0.0,0.0,-9.325697
1350,27,-18.014492,50,0.0,0.0,-9.325697
1400,28,-21.546168,50,0.0,0.0,-9.325697
1450,29,-28.683793,50,0.0,0.0,-9.325697
1500,30,-26.499308,50,0.0,0.0,-9.325697
1550,31,-26.662192,50,0.0,0.0,-9.325697
1600,32,-27.790886,50,0.0,0.0,-9.325697
1650,33,-29.714488,50,0.0,0.0,-9.325697
1700,34,-18.822167,50,0.0,0.0,-9.325697
1750,35,-9.95446,50,0.0,0.0,-9.325697
1800,36,-21.500967,50,0.0,0.0,-9.325697
1850,37,-24.768781,50,0.0,0.0,-9.325697
1900,38,-17.650517,50,0.0,0.0,-9.325697
1950,39,-23.823139,50,0.0,0.0,-9.325697
2000,40,-14.459195,50,0.0,0.0,-9.325697
2050,41,-28.706279,50,0.0,0.0,-9.325697
2100,42,-19.012967,50,0.0,0.0,-9.325697
2150,43,-22.260986,50,0.0,0.0,-9.325697
2200,44,-18.258628,50,0.0,0.0,-9.325697
2250,45,-14.923299,50,0.0,0.0,-9.325697
2300,46,-23.179812,50,0.0,0.0,-9.325697
2350,47,-24.122787,50,0.0,0.0,-9.325697
2400,48,-17.244565,50,0.0,0.0,-9.325697
2450,49,-17.75119,50,0.0,0.0,-9.325697
2500,50,-16.432703,50,0.0,0.0,-9.325697
2550,51,-20.844911,50,0.0,0.0,-9.325697
2600,52,-21.52616,50,0.0,0.0,-9.325697
2650,53,-17.765875,50,0.0,0.0,-9.325697
2700,54,-20.787108,50,0.0,0.0,-9.325697
2750,55,-18.383748,50,0.0,0.0,-9.325697
2800,56,-32.33557,50,0.0,0.0,-9.325697
2850,57,-23.271614,50,0.0,0.0,-9.325697
2900,58,-6.706417,50,0.0,0.0,-6.706417
2950,59,-26.230324,50,0.0,0.0,-6.706417
3000,60,-20.873107,50,0.0,0.0,-6.706417
3050,61,-17.68122,50,0.0,0.0,-6.706417
3100,62,-9.797148,50,0.0,0.0,-6.706417
3150,63,-18.939355,50,0.0,0.0,-6.706417
3200,64,-14.86076,50,0.0,0.0,-6.706417
3214,65,-4.816974,14,1.0,0.015384615384615385,-4.816974
3264,66,-6.552512,50,0.0,0.015151515151515152,-4.816974
3314,67,-31.554686,50,0.0,0.014925373134328358,-4.816974
3364,68,-65.990359,50,0.0,0.014705882352941176,-4.816974
3414,69,-14.491542,50,0.0,0.014492753623188406,-4.816974
3464,70,-17.377665,50,0.0,0.014285714285714285,-4.816974
3514,71,-20.323882,50,0.0,0.014084507042253521,-4.816974
3564,72,-27.334248,50,0.0,0.013888888888888888,-4.816974
3614,73,-28.728148,50,0.0,0.0136986301369863,-4.816974
3664,74,-25.03933,50,0.0,0.013513513513513514,-4.816974
3714,75,-32.802601,50,0.0,0.013333333333333334,-4.816974
3764,76,-14.506463,50,0.0,0.013157894736842105,-4.816974
3814,77,-29.553074,50,0.0,0.012987012987012988,-4.816974
3864,78,-15.76218,50,0.0,0.01282051282051282,-4.816974
3914,79,-11.815347,50,0.0,0.012658227848101266,-4.816974
3964,80,-16.510375,50,0.0,0.0125,-4.816974
4014,81,-10.112284,50,0.0,0.012345679012345678,-4.816974
4064,82,-10.392812,50,0.0,0.012195121951219513,-4.816974
4114,83,-12.494611,50,0.0,0.012048192771084338,-4.816974
4164,84,-22.10747,50,0.0,0.011904761904761904,-4.816974
4214,85,-15.717452,50,0.0,0.011764705882352941,-4.816974
4264,86,-28.144482,50,0.0,0.011627906976744186,-4.816974
4314,87,-23.56779,50,0.0,0.011494252873563218,-4.816974
4364,88,-14.762616,50,0.0,0.011363636363636364,-4.816974
4414,89,-30.983411,50,0.0,0.011235955056179775,-4.816974
4464,90,-32.646822,50,0.0,0.011111111111111112,-4.816974
4514,91,-26.990587,50,0.0,0.01098901098901099,-4.816974
4564,92,-29.808977,50,0.0,0.010869565217391304,-4.816974
4614,93,-17.352934,50,0.0,0.010752688172043012,-4.816974
4664,94,-18.580033,50,0.0,0.010638297872340425,-4.816974
4714,95,-15.150486,50,0.0,0.010526315789473684,-4.816974
4764,96,-20.624767,50,0.0,0.010416666666666666,-4.816974
4814,97,-22.458404,50,0.0,0.010309278350515464,-4.816974
4864,98,-30.021618,50,0.0,0.01020408163265306,-4.816974
4914,99,-33.72619,50,0.0,0.010101010101010102,-4.816974
4964,100,-17.145846,50,0.0,0.01,-4.816974
5014,101,-18.040067,50,0.0,0.009900990099009901,-4.816974
5064,102,-32.245757,50,0.0,0.00980392156862745,-4.816974
5114,103,-22.898877,50,0.0,0.009708737864077669,-4.816974
5164,104,-21.925213,50,0.0,0.009615384615384616,-4.816974
5214,105,-14.319548,50,0.0,0.009523809523809525,-4.816974
5264,106,-7.86318,50,0.0,0.009433962264150943,-4.816974
5314,107,-23.191595,50,0.0,0.009345794392523364,-4.816974
5364,108,-15.90052,50,0.0,0.009259259259259259,-4.816974
5414,109,-17.448871,50,0.0,0.009174311926605505,-4.816974
5464,110,-18.438474,50,0.0,0.00909090909090909,-4.816974
5514,111,-28.934765,50,0.0,0.009009009009009009,-4.816974
5564,112,-13.150794,50,0.0,0.008928571428571428,-4.816974
5614,113,-29.266005,50,0.0,0.008849557522123894,-4.816974
5664,114,-25.545992,50,0.0,0.008771929824561403,-4.816974
5714,115,-13.282192,50,0.0,0.008695652173913044,-4.816974
5764,116,-22.749917,50,0.0,0.008620689655172414,-4.816974
5814,117,-15.203716,50,0.0,0.008547008547008548,-4.816974
5864,118,-8.790532,50,0.0,0.00847457627118644,-4.816974
5914,119,-24.295358,50,0.0,0.008403361344537815,-4.816974
5964,120,-23.516601,50,0.0,0.008333333333333333,-4.816974
6014,121,-26.258736,50,0.0,0.008264462809917356,-4.816974
6064,122,-23.326515,50,0.0,0.00819672131147541,-4.816974
6114,123,-26.317535,50,0.0,0.008130081300813009,-4.816974
6164,124,-23.950229,50,0.0,0.008064516129032258,-4.816974
6214,125,-27.900877,50,0.0,0.008,-4.816974
6264,126,-11.697353,50,0.0,0.007936507936507936,-4.816974
6314,127,-23.948664,50,0.0,0.007874015748031496,-4.816974
6364,128,-32.712443,50,0.0,0.0078125,-4.816974
6414,129,-19.203527,50,0.0,0.007751937984496124,-4.816974
6464,130,-21.759138,50,0.0,0.007692307692307693,-4.816974
6514,131,-16.953191,50,0.0,0.007633587786259542,-4.816974
6564,132,-16.82237,50,0.0,0.007575757575757576,-4.816974
6614,133,-31.408588,50,0.0,0.007518796992481203,-4.816974
6664,134,-26.180985,50,0.0,0.007462686567164179,-4.816974
6714,135,-28.319077,50,0.0,0.007407407407407408,-4.816974
6764,136,-14.796961,50,0.0,0.007352941176470588,-4.816974
6814,137,-12.018953,50,0.0,0.0072992700729927005,-4.816974
6864,138,-16.497534,50,0.0,0.007246376811594203,-4.816974
6914,139,-12.849623,50,0.0,0.007194244604316547,-4.816974
6964,140,-16.474345,50,0.0,0.007142857142857143,-4.816974
7014,141,-21.617646,50,0.0,0.0070921985815602835,-4.816974
7064,142,-23.254436,50,0.0,0.007042253521126761,-4.816974
7114,143,-27.443529,50,0.0,0.006993006993006993,-4.816974
7164,144,-20.769794,50,0.0,0.006944444444444444,-4.816974
7214,145,-18.865388,50,0.0,0.006896551724137931,-4.816974
7264,146,-17.500189,50,0.0,0.00684931506849315,-4.816974
7314,147,-22.95341,50,0.0,0.006802721088435374,-4.816974
