rollout/ep_rew_mean,train/std,rollout/ep_len_mean,time/episodes,rollout/success_rate,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,eval/success_rate,eval/mean_ep_length,eval/mean_reward
-23.4551379,0.049787066876888275,50.0,10,0.0,2,500,171,,,,,,,,,
-23.9986302,0.049787066876888275,50.0,20,0.0,5,1000,171,,,,,,,,,
-22.93367596666667,0.049787066876888275,50.0,30,0.0,8,1500,172,,,,,,,,,
-21.564429625000002,0.049787066876888275,50.0,40,0.0,11,2000,172,,,,,,,,,
-21.8858358,0.049787066876888275,50.0,50,0.0,14,2500,171,,,,,,,,,
-21.890743933333333,0.049787066876888275,50.0,60,0.0,17,3000,170,,,,,,,,,
-21.856188357142855,0.049787066876888275,50.0,70,0.0,20,3500,170,,,,,,,,,
-22.0236825125,0.049787066876888275,50.0,80,0.0,23,4000,170,,,,,,,,,
-21.82756488888889,0.049787066876888275,50.0,90,0.0,26,4500,168,,,,,,,,,
-21.345792469999996,0.049787066876888275,50.0,100,0.0,29,5000,167,,,,,,,,,
-20.881155130000003,0.049787066876888275,50.0,110,0.0,32,5500,167,,,,,,,,,
-20.475848420000002,0.049787066876888275,50.0,120,0.0,35,6000,166,,,,,,,,,
-20.743202280000002,0.049787066876888275,50.0,130,0.0,39,6500,166,,,,,,,,,
-21.231450879999997,0.049787066876888275,50.0,140,0.0,42,7000,166,,,,,,,,,
-20.93585169,0.049787066876888275,50.0,150,0.0,44,7500,167,,,,,,,,,
-21.0212527,0.049787066876888275,50.0,160,0.0,47,8000,168,,,,,,,,,
-21.113250400000002,0.049787066876888275,50.0,170,0.0,50,8500,169,,,,,,,,,
-20.736305799999997,0.049787066876888275,50.0,180,0.0,52,9000,170,,,,,,,,,
-21.224828849999998,0.049787066876888275,50.0,190,0.0,55,9500,171,,,,,,,,,
-21.596999920000002,0.049787066876888275,50.0,200,0.0,58,10000,172,,,,,,,,,
-21.768692659999996,0.04994073510169983,50.0,210,0.0,63,10500,164,-0.15485801920294762,0.0001,496,-1.1309665888547897,0.46594851464033127,0.9649640917778015,,,
-21.90935626,0.04999425262212753,50.0,220,0.0,69,11000,157,-0.46598098427057266,0.0001,996,-7.532121300697327,0.8821887597441673,0.9068864732980728,,,
-21.702275400000005,0.05000879615545273,50.0,230,0.0,75,11500,152,-0.7579392492771149,0.0001,1496,-13.157033681869507,0.45438459515571594,0.8589254915714264,,,
-21.688740640000002,0.05001934617757797,50.0,240,0.0,81,12000,147,-1.0578210055828094,0.0001,1996,-18.23587465286255,0.2726880684494972,0.8152812421321869,,,
-22.149301950000005,0.05003172159194946,50.0,250,0.0,87,12500,143,-1.2236279845237732,0.0001,2496,-22.228918075561523,0.3766326606273651,0.7745244204998016,,,
-21.995507820000004,0.05003343150019646,50.0,260,0.0,92,13000,139,-1.5902774035930634,0.0001,2996,-25.951751708984375,0.3597208857536316,0.736300989985466,,,
-21.83291489,0.05003897473216057,49.61,270,0.009999999776482582,98,13461,136,-1.7251602411270142,0.0001,3460,-28.466544151306152,0.35430609434843063,0.7025974094867706,,,
-22.30347271,0.05005393549799919,49.61,280,0.009999999776482582,104,13961,133,-1.9232296347618103,0.0001,3960,-30.783012866973877,0.41545792669057846,0.6680500507354736,,,
-22.009950349999993,0.05005740374326706,49.61,290,0.009999999776482582,110,14461,131,-2.25981205701828,0.0001,4460,-32.69216251373291,0.25895315408706665,0.6353604942560196,,,
-22.341255039999997,0.05006178468465805,49.61,300,0.009999999776482582,115,14961,129,-2.5106635689735413,0.0001,4960,-34.009243965148926,0.7995386496186256,0.6042293310165405,,,
-22.705897059999998,0.05007973313331604,49.61,310,0.009999999776482582,121,15461,127,-2.709808826446533,0.0001,5460,-35.04181385040283,0.3210137411952019,0.57466621696949,,,
-22.686531679999998,0.05008947104215622,49.25,320,0.019999999552965164,127,15925,125,-3.020895302295685,0.0001,5924,-35.5934534072876,0.36818303167819977,0.5485056191682816,,,
-22.842284919999997,0.05009275674819946,49.25,330,0.019999999552965164,133,16425,123,-3.1318545937538147,0.0001,6424,-36.229331970214844,0.16651478968560696,0.5217201262712479,,,
-22.48152729,0.050096288323402405,49.25,340,0.019999999552965164,138,16925,121,-3.6007654666900635,0.0001,6924,-36.64229488372803,0.3936642222106457,0.4963512569665909,,,
-22.330400160000003,0.050105344504117966,49.25,350,0.019999999552965164,144,17425,120,-3.758100390434265,0.0001,7424,-36.379456520080566,0.19825345277786255,0.47219250351190567,,,
-21.99036821,0.0501154288649559,49.25,360,0.019999999552965164,150,17925,119,-4.11907434463501,0.0001,7924,-35.990166664123535,0.3858685865998268,0.44922706484794617,,,
-22.387352229999998,0.050119899213314056,49.64,370,0.009999999776482582,156,18425,117,-3.9877007603645325,0.0001,8424,-35.43735218048096,0.2822430469095707,0.4273960366845131,,,
-21.958845470000007,0.050130367279052734,49.64,380,0.009999999776482582,162,18925,116,-4.289706707000732,0.0001,8924,-35.11622619628906,0.2031477764248848,0.40661395341157913,,,
-21.67761333,0.050133537501096725,49.64,390,0.009999999776482582,167,19425,115,-4.6731038093566895,0.0001,9424,-34.38115406036377,0.2159662414342165,0.3868187442421913,,,
-21.195407850000002,0.05015132948756218,49.64,400,0.009999999776482582,173,19925,114,-4.880948781967163,0.0001,9924,-33.83984184265137,0.13458638079464436,0.3680233508348465,,,
,,,,,,20000,,-5.062770128250122,0.0001,9996,-33.74001407623291,0.13409800827503204,0.365389883518219,0.0,50.0,-21.855975249999997
-20.515553850000007,0.05015624687075615,49.64,410,0.009999999776482582,184,20425,110,-5.271848678588867,0.0001,10424,-33.071834564208984,0.1603105068206787,0.3501475006341934,,,
-20.47629439,0.050167933106422424,50.0,420,0.0,190,20925,109,-5.546125292778015,0.0001,10924,-32.23763847351074,0.1029643751680851,0.3330879285931587,,,
-20.66347123,0.05016903579235077,50.0,430,0.0,196,21425,109,-5.915571928024292,0.0001,11424,-31.363428115844727,0.10244194231927395,0.3168724700808525,,,
