rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/std,time/episodes,rollout/success_rate
50.0,195,500,2,-19.387067899999998,0.049787066876888275,10,0.0
50.0,188,1000,5,-19.327882949999996,0.049787066876888275,20,0.0
50.0,186,1500,8,-19.58758506666667,0.049787066876888275,30,0.0
50.0,182,2000,10,-18.812824125,0.049787066876888275,40,0.0
50.0,182,2500,13,-19.070738360000004,0.049787066876888275,50,0.0
50.0,179,3000,16,-20.15317471666667,0.049787066876888275,60,0.0
50.0,175,3500,19,-20.15671847142857,0.049787066876888275,70,0.0
50.0,175,4000,22,-20.087397887499996,0.049787066876888275,80,0.0
50.0,174,4500,25,-19.804986044444444,0.049787066876888275,90,0.0
50.0,173,5000,28,-20.20692254,0.049787066876888275,100,0.0
50.0,173,5500,31,-20.46301666,0.049787066876888275,110,0.0
50.0,174,6000,34,-20.75288896,0.049787066876888275,120,0.0
50.0,174,6500,37,-20.80842342,0.049787066876888275,130,0.0
50.0,175,7000,39,-21.473663880000004,0.049787066876888275,140,0.0
50.0,176,7500,42,-21.583092509999997,0.049787066876888275,150,0.0
50.0,176,8000,45,-21.220018300000003,0.049787066876888275,160,0.0
50.0,177,8500,47,-21.318001569999996,0.049787066876888275,170,0.0
50.0,177,9000,50,-21.46070752,0.049787066876888275,180,0.0
50.0,178,9500,53,-22.147840470000002,0.049787066876888275,190,0.0
50.0,178,10000,56,-22.0846376,0.049787066876888275,200,0.0
