time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,train/std,time/episodes,time/fps
2,50.0,500,-25.731983500000002,0.0,0.049787066876888275,10,195
5,50.0,1000,-22.64910795,0.0,0.049787066876888275,20,188
8,50.0,1500,-22.682098933333336,0.0,0.049787066876888275,30,187
10,50.0,2000,-21.76419865,0.0,0.049787066876888275,40,182
13,50.0,2500,-21.65789644,0.0,0.049787066876888275,50,183
16,50.0,3000,-22.365052133333332,0.0,0.049787066876888275,60,184
19,50.0,3500,-22.96215335714286,0.0,0.049787066876888275,70,183
21,50.0,4000,-22.499971825,0.0,0.049787066876888275,80,183
24,50.0,4500,-22.499163922222223,0.0,0.049787066876888275,90,183
27,50.0,5000,-22.54474518,0.0,0.049787066876888275,100,182
30,50.0,5500,-22.546017120000002,0.0,0.049787066876888275,110,180
33,50.0,6000,-22.675695520000005,0.0,0.049787066876888275,120,179
36,50.0,6500,-22.6211755,0.0,0.049787066876888275,130,177
39,50.0,7000,-23.07632793,0.0,0.049787066876888275,140,176
42,50.0,7500,-22.8566444,0.0,0.049787066876888275,150,176
45,50.0,8000,-22.40895339,0.0,0.049787066876888275,160,174
48,50.0,8500,-21.797489949999996,0.0,0.049787066876888275,170,174
51,50.0,9000,-21.76957701,0.0,0.049787066876888275,180,174
