time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/fps,time/time_elapsed,train/std,rollout/ep_rew_mean
500,10,50.0,0.0,192,2,0.049787066876888275,-21.999360199999998
1000,20,50.0,0.0,197,5,0.049787066876888275,-22.579341950000003
1500,30,50.0,0.0,198,7,0.049787066876888275,-21.660087466666667
2000,40,50.0,0.0,199,10,0.049787066876888275,-21.9473502
2500,50,50.0,0.0,197,12,0.049787066876888275,-22.19026514
3000,60,50.0,0.0,196,15,0.049787066876888275,-22.26569896666667
3500,70,50.0,0.0,193,18,0.049787066876888275,-21.830810099999997
4000,80,50.0,0.0,191,20,0.049787066876888275,-21.8551851
4500,90,50.0,0.0,190,23,0.049787066876888275,-21.352941644444446
5000,100,50.0,0.0,189,26,0.049787066876888275,-21.195576730000006
5500,110,50.0,0.0,187,29,0.049787066876888275,-21.250523039999997
6000,120,50.0,0.0,187,31,0.049787066876888275,-20.972439139999995
6500,130,50.0,0.0,187,34,0.049787066876888275,-21.605731979999995
7000,140,50.0,0.0,188,37,0.049787066876888275,-21.601320809999997
7500,150,50.0,0.0,187,39,0.049787066876888275,-21.371572030000003
