time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,rollout/ep_len_mean,train/std,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
500,2,-22.3058943,197,0.0,50.0,0.049787066876888275,10,,,,,,,,,
1000,5,-23.0769104,198,0.0,50.0,0.049787066876888275,20,,,,,,,,,
1500,7,-23.200018600000003,199,0.0,50.0,0.049787066876888275,30,,,,,,,,,
2000,9,-23.252273025,200,0.0,50.0,0.049787066876888275,40,,,,,,,,,
2500,12,-23.75409718,197,0.0,50.0,0.049787066876888275,50,,,,,,,,,
3000,15,-23.725027566666665,194,0.0,50.0,0.049787066876888275,60,,,,,,,,,
3500,18,-24.706447414285712,193,0.0,50.0,0.049787066876888275,70,,,,,,,,,
3958,20,-23.928378937500003,193,0.012500000186264515,49.475,0.049787066876888275,80,,,,,,,,,
4458,23,-23.585767511111108,193,0.011111111380159855,49.53333333333333,0.049787066876888275,90,,,,,,,,,
4958,25,-23.29358293,193,0.009999999776482582,49.58,0.049787066876888275,100,,,,,,,,,
5458,28,-23.023022689999998,193,0.009999999776482582,49.58,0.049787066876888275,110,,,,,,,,,
5958,30,-22.631413370000004,193,0.009999999776482582,49.58,0.049787066876888275,120,,,,,,,,,
6458,33,-22.60402422,192,0.009999999776482582,49.58,0.049787066876888275,130,,,,,,,,,
6958,36,-22.165579969999996,192,0.009999999776482582,49.58,0.049787066876888275,140,,,,,,,,,
7442,38,-22.032858819999998,192,0.019999999552965164,49.42,0.049787066876888275,150,,,,,,,,,
7942,41,-22.063628750000003,191,0.019999999552965164,49.42,0.049787066876888275,160,,,,,,,,,
8442,44,-20.799930330000002,189,0.019999999552965164,49.42,0.049787066876888275,170,,,,,,,,,
8942,47,-20.967123740000005,188,0.009999999776482582,49.84,0.049787066876888275,180,,,,,,,,,
9442,50,-20.356619079999998,186,0.009999999776482582,49.84,0.049787066876888275,190,,,,,,,,,
9942,53,-20.89390987,186,0.009999999776482582,49.84,0.049787066876888275,200,,,,,,,,,
10442,59,-21.135487900000008,176,0.009999999776482582,49.84,0.04992718622088432,210,0.9734579622745514,0.0001,-0.10893924720585346,0.19493287056684494,0.7675911635160446,440,,,
10942,65,-21.702980079999996,167,0.009999999776482582,49.84,0.04999266192317009,220,0.9130908995866776,0.0001,-0.4465632289648056,-6.3783038854599,0.20909685641527176,940,,,
11442,71,-21.912717139999994,160,0.009999999776482582,49.84,0.05000292509794235,230,0.8639954924583435,0.0001,-0.6653121113777161,-11.883427143096924,0.3969714194536209,1440,,,
11942,77,-22.864380599999993,153,0.009999999776482582,49.84,0.050019413232803345,240,0.8196596801280975,0.0001,-0.997146487236023,-17.15855646133423,0.7527466788887978,1940,,,
