time/fps,time/time_elapsed,time/episodes,rollout/success_rate,train/std,time/total_timesteps
622,0,10,0.0,0.049787066876888275,600
615,1,20,0.0,0.049787066876888275,1000
615,2,30,0.0,0.049787066876888275,1600
611,3,40,0.0,0.049787066876888275,2000
610,4,50,0.0,0.049787066876888275,2600
609,4,60,0.0,0.049787066876888275,3000
609,5,70,0.0,0.049787066876888275,3600
609,6,80,0.0,0.049787066876888275,4000
612,7,90,0.0,0.049787066876888275,4600
612,8,100,0.0,0.049787066876888275,5000
610,9,110,0.0,0.049787066876888275,5600
611,9,120,0.0,0.049787066876888275,6000
611,10,130,0.0,0.049787066876888275,6600
610,11,140,0.0,0.049787066876888275,7000
593,12,150,0.0,0.049787066876888275,7600
