Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward
50,1,-20.496949,50,0.0,0.0,-20.496949
100,2,-27.467296,50,0.0,0.0,-20.496949
150,3,-24.217971,50,0.0,0.0,-20.496949
200,4,-22.90139,50,0.0,0.0,-20.496949
250,5,-30.990261,50,0.0,0.0,-20.496949
300,6,-25.003411,50,0.0,0.0,-20.496949
350,7,-31.18378,50,0.0,0.0,-20.496949
400,8,-13.017379,50,0.0,0.0,-13.017379
450,9,-30.8595,50,0.0,0.0,-13.017379
500,10,-8.413442,50,0.0,0.0,-8.413442
550,11,-23.711562,50,0.0,0.0,-8.413442
600,12,-33.038839,50,0.0,0.0,-8.413442
650,13,-15.791783,50,0.0,0.0,-8.413442
700,14,-17.909281,50,0.0,0.0,-8.413442
750,15,-20.802101,50,0.0,0.0,-8.413442
800,16,-33.134145,50,0.0,0.0,-8.413442
850,17,-27.3965,50,0.0,0.0,-8.413442
900,18,-16.244192,50,0.0,0.0,-8.413442
950,19,-29.724181,50,0.0,0.0,-8.413442
1000,20,-27.668641,50,0.0,0.0,-8.413442
1050,21,-10.103574,50,0.0,0.0,-8.413442
1100,22,-13.672678,50,0.0,0.0,-8.413442
1150,23,-16.181873,50,0.0,0.0,-8.413442
1200,24,-17.26434,50,0.0,0.0,-8.413442
1250,25,-27.729719,50,0.0,0.0,-8.413442
1300,26,-22.517561,50,0.0,0.0,-8.413442
1350,27,-19.657818,50,0.0,0.0,-8.413442
1400,28,-23.982025,50,0.0,0.0,-8.413442
1450,29,-34.709298,50,0.0,0.0,-8.413442
1500,30,-22.218789,50,0.0,0.0,-8.413442
1550,31,-15.800747,50,0.0,0.0,-8.413442
1600,32,-17.113862,50,0.0,0.0,-8.413442
1650,33,-16.73741,50,0.0,0.0,-8.413442
1700,34,-20.115157,50,0.0,0.0,-8.413442
1750,35,-21.739523,50,0.0,0.0,-8.413442
1800,36,-14.562188,50,0.0,0.0,-8.413442
1850,37,-15.063417,50,0.0,0.0,-8.413442
1900,38,-25.962644,50,0.0,0.0,-8.413442
1950,39,-21.854179,50,0.0,0.0,-8.413442
2000,40,-5.617779,50,0.0,0.0,-5.617779
2050,41,-25.447118,50,0.0,0.0,-5.617779
2100,42,-23.102692,50,0.0,0.0,-5.617779
2150,43,-20.891445,50,0.0,0.0,-5.617779
2200,44,-29.223665,50,0.0,0.0,-5.617779
2250,45,-19.004793,50,0.0,0.0,-5.617779
2300,46,-25.824702,50,0.0,0.0,-5.617779
2350,47,-25.836293,50,0.0,0.0,-5.617779
2400,48,-12.160675,50,0.0,0.0,-5.617779
2450,49,-27.521047,50,0.0,0.0,-5.617779
2500,50,-22.702175,50,0.0,0.0,-5.617779
2550,51,-26.633413,50,0.0,0.0,-5.617779
2600,52,-16.377766,50,0.0,0.0,-5.617779
2650,53,-29.65966,50,0.0,0.0,-5.617779
2700,54,-32.717401,50,0.0,0.0,-5.617779
2750,55,-16.157251,50,0.0,0.0,-5.617779
2800,56,-29.807267,50,0.0,0.0,-5.617779
2850,57,-16.710255,50,0.0,0.0,-5.617779
2900,58,-13.467536,50,0.0,0.0,-5.617779
2950,59,-19.249359,50,0.0,0.0,-5.617779
3000,60,-18.372938,50,0.0,0.0,-5.617779
3050,61,-22.015848,50,0.0,0.0,-5.617779
3100,62,-16.058892,50,0.0,0.0,-5.617779
3150,63,-28.696031,50,0.0,0.0,-5.617779
3200,64,-21.410412,50,0.0,0.0,-5.617779
3250,65,-14.634795,50,0.0,0.0,-5.617779
3300,66,-18.95544,50,0.0,0.0,-5.617779
3350,67,-22.81916,50,0.0,0.0,-5.617779
3400,68,-22.106641,50,0.0,0.0,-5.617779
3450,69,-20.984808,50,0.0,0.0,-5.617779
3500,70,-28.806522,50,0.0,0.0,-5.617779
3550,71,-15.710219,50,0.0,0.0,-5.617779
3600,72,-20.285265,50,0.0,0.0,-5.617779
3650,73,-25.883681,50,0.0,0.0,-5.617779
3700,74,-22.440766,50,0.0,0.0,-5.617779
3750,75,-23.645343,50,0.0,0.0,-5.617779
3800,76,-30.753554,50,0.0,0.0,-5.617779
3850,77,-27.545245,50,0.0,0.0,-5.617779
3900,78,-33.068206,50,0.0,0.0,-5.617779
3950,79,-18.283561,50,0.0,0.0,-5.617779
4000,80,-14.345576,50,0.0,0.0,-5.617779
4050,81,-23.09024,50,0.0,0.0,-5.617779
4100,82,-10.708154,50,0.0,0.0,-5.617779
4150,83,-26.036086,50,0.0,0.0,-5.617779
4200,84,-18.694537,50,0.0,0.0,-5.617779
4250,85,-18.284874,50,0.0,0.0,-5.617779
4300,86,-30.834863,50,0.0,0.0,-5.617779
4350,87,-23.289597,50,0.0,0.0,-5.617779
4400,88,-14.56346,50,0.0,0.0,-5.617779
4450,89,-24.642878,50,0.0,0.0,-5.617779
4500,90,-12.44155,50,0.0,0.0,-5.617779
4550,91,-16.947275,50,0.0,0.0,-5.617779
4600,92,-15.412638,50,0.0,0.0,-5.617779
4650,93,-9.614207,50,0.0,0.0,-5.617779
4700,94,-18.119158,50,0.0,0.0,-5.617779
4750,95,-6.655476,50,0.0,0.0,-5.617779
4800,96,-22.614373,50,0.0,0.0,-5.617779
4850,97,-14.504977,50,0.0,0.0,-5.617779
4900,98,-23.685923,50,0.0,0.0,-5.617779
4950,99,-20.550504,50,0.0,0.0,-5.617779
5000,100,-21.993876,50,0.0,0.0,-5.617779
5050,101,-21.629138,50,0.0,0.0,-5.617779
5100,102,-10.567608,50,0.0,0.0,-5.617779
5150,103,-20.026396,50,0.0,0.0,-5.617779
