rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
50.0,-20.6290975,10,0.0,600,1,479,0.049787066876888275,,,,,,,,,
50.0,-20.95689075,20,0.0,1000,2,497,0.049787066876888275,,,,,,,,,
50.0,-20.3133783125,30,0.0,1600,3,521,0.049787066876888275,,,,,,,,,
50.0,-20.754372575,40,0.0,2000,3,529,0.049787066876888275,,,,,,,,,
50.0,-20.119194134615388,50,0.0,2600,4,539,0.049787066876888275,,,,,,,,,
50.0,-19.833653683333335,60,0.0,3000,5,542,0.049787066876888275,,,,,,,,,
50.0,-20.23691223611111,70,0.0,3600,6,548,0.049787066876888275,,,,,,,,,
50.0,-20.5304243375,80,0.0,4000,7,550,0.049787066876888275,,,,,,,,,
50.0,-20.699873282608692,90,0.0,4600,8,552,0.049787066876888275,,,,,,,,,
50.0,-20.840434639999998,100,0.0,5000,9,553,0.049787066876888275,,,,,,,,,
50.0,-20.63504828,110,0.0,5600,10,555,0.049787066876888275,,,,,,,,,
50.0,-20.6195496,120,0.0,6000,10,556,0.049787066876888275,,,,,,,,,
50.0,-20.95502055,130,0.0,6600,11,556,0.049787066876888275,,,,,,,,,
50.0,-20.77569443,140,0.0,7000,12,557,0.049787066876888275,,,,,,,,,
50.0,-21.339405730000003,150,0.0,7600,13,554,0.049787066876888275,,,,,,,,,
50.0,-21.543360099999994,160,0.0,8000,14,546,0.049787066876888275,,,,,,,,,
50.0,-21.402217469999997,170,0.0,8600,16,536,0.049787066876888275,,,,,,,,,
50.0,-21.98616644,180,0.0,9000,16,530,0.049787066876888275,,,,,,,,,
50.0,-22.016658740000004,190,0.0,9600,18,523,0.049787066876888275,,,,,,,,,
50.0,-22.2180006,200,0.0,10000,19,518,0.049787066876888275,,,,,,,,,
50.0,-22.533818110000002,210,0.0,10600,21,485,0.04985642433166504,4.648172378540039,1.0063725709915161,0.0001,0.007130759768188,149,1.2450944185256958,,,
50.0,-22.47816546,220,0.0,11000,23,470,0.04989231377840042,2.424978256225586,0.9980337619781494,0.0001,-0.006216500885784626,249,0.9577637910842896,,,
50.0,-22.61607012,230,0.0,11600,25,451,0.04993361234664917,0.28889068961143494,0.9773051738739014,0.0001,-0.08436235785484314,399,0.2051118016242981,,,
50.0,-22.7319929,240,0.0,12000,27,440,0.04995705187320709,-0.7069417238235474,0.9641442894935608,0.0001,-0.1398405134677887,499,0.2251971960067749,,,
50.0,-22.839860139999995,250,0.0,12600,29,425,0.049980081617832184,-2.6805624961853027,0.9454711675643921,0.0001,-0.23736757040023804,649,0.2798551321029663,,,
50.0,-23.213293600000007,260,0.0,13000,31,416,0.049992866814136505,-5.371123313903809,0.9339509010314941,0.0001,-0.3845493793487549,749,4.759886264801025,,,
50.0,-23.21013362,270,0.0,13600,33,405,0.05000554770231247,-6.160852432250977,0.9175190925598145,0.0001,-0.43863973021507263,899,0.8252622485160828,,,
50.0,-22.765297340000007,280,0.0,14000,35,398,0.050006937235593796,-7.090103626251221,0.9071395397186279,0.0001,-0.4704873561859131,999,0.23444302380084991,,,
50.0,-22.501559989999997,290,0.0,14600,37,389,0.05001453682780266,-8.637656211853027,0.8921218514442444,0.0001,-0.49057406187057495,1149,2.2545690536499023,,,
50.0,-22.26866043,300,0.0,15000,39,384,0.05001819133758545,-10.065011024475098,0.8824910521507263,0.0001,-0.619634747505188,1249,0.16500434279441833,,,
50.0,-22.237491980000005,310,0.0,15600,41,376,0.05001949518918991,-11.75156021118164,0.8682719469070435,0.0001,-0.706462025642395,1399,0.18921512365341187,,,
50.0,-22.226735569999995,320,0.0,16000,43,371,0.05002979561686516,-12.821792602539062,0.8590561151504517,0.0001,-0.7669615745544434,1499,0.5483614802360535,,,
50.0,-22.06543197,330,0.0,16600,45,366,0.05002802237868309,-14.454795837402344,0.8456136584281921,0.0001,-0.8629192113876343,1649,0.5542289614677429,,,
50.0,-21.90432243,340,0.0,17000,46,362,0.05003020167350769,-15.205177307128906,0.8367337584495544,0.0001,-0.952568769454956,1749,0.8310382962226868,,,
50.0,-21.58032826,350,0.0,17600,49,357,0.050033025443553925,-16.556598663330078,0.8237574100494385,0.0001,-0.848403811454773,1899,3.3498380184173584,,,
50.0,-20.985214389999996,360,0.0,18000,50,354,0.05003773421049118,-17.935325622558594,0.8152197599411011,0.0001,-1.0321719646453857,1999,0.2572764754295349,,,
50.0,-20.836725780000002,370,0.0,18600,53,350,0.050034891813993454,-18.916545867919922,0.8027333617210388,0.0001,-1.1331939697265625,2149,0.6741257905960083,,,
50.0,-20.525292480000005,380,0.0,19000,54,347,0.050029970705509186,-20.405929565429688,0.7946340441703796,0.0001,-1.1725621223449707,2249,1.9866842031478882,,,
50.0,-20.86734062,390,0.0,19600,56,344,0.05002695322036743,-20.45850944519043,0.7825124859809875,0.0001,-1.1763718128204346,2399,0.5930675864219666,,,
50.0,-20.958577679999998,400,0.0,20000,58,342,0.05003470182418823,-22.109668731689453,0.7745509147644043,0.0001,-1.350422739982605,2499,2.5958871841430664,,,
50.0,-21.061480940000006,410,0.0,20600,60,339,0.05003581568598747,-22.618886947631836,0.7628335356712341,0.0001,-1.2427735328674316,2649,0.7285022735595703,,,
50.0,-21.07791036,420,0.0,21000,62,337,0.05003738030791283,-23.496845245361328,0.7551133036613464,0.0001,-1.5001710653305054,2749,2.343085765838623,,,
50.0,-20.89685256,430,0.0,21600,64,334,0.05004047602415085,-25.005685806274414,0.7437235116958618,0.0001,-1.334993600845337,2899,1.153421401977539,,,
50.0,-21.106599199999994,440,0.0,22000,66,332,0.05003676936030388,-25.62430191040039,0.7361995577812195,0.0001,-1.4981738328933716,2999,0.432328999042511,,,
50.0,-21.08949358,450,0.0,22600,68,330,0.050042301416397095,-25.973459243774414,0.7252209782600403,0.0001,-1.6105167865753174,3149,0.6763533353805542,,,
50.0,-21.359001270000004,460,0.0,23000,69,329,0.050047796219587326,-26.263511657714844,0.7179857492446899,0.0001,-1.4159114360809326,3249,0.6044759154319763,,,
50.0,-21.545645129999993,470,0.0,23600,72,326,0.050046347081661224,-27.27568817138672,0.7071707844734192,0.0001,-1.511993408203125,3399,0.3423423171043396,,,
50.0,-21.3941208,480,0.0,24000,73,325,0.05005260556936264,-28.156272888183594,0.7000902891159058,0.0001,-1.9207546710968018,3499,0.7094209790229797,,,
50.0,-21.127390029999997,490,0.0,24600,76,323,0.050053246319293976,-28.422950744628906,0.6894786357879639,0.0001,-1.5343124866485596,3649,3.7025296688079834,,,
50.0,-21.106753100000002,500,0.0,25000,77,321,0.050056736916303635,-29.331361770629883,0.6826549768447876,0.0001,-1.796519160270691,3749,2.5377752780914307,,,
50.0,-20.80194545,510,0.0,25600,79,320,0.05004945024847984,-29.129043579101562,0.6724824905395508,0.0001,-1.6869291067123413,3899,3.0347847938537598,,,
50.0,-20.86058736,520,0.0,26000,81,319,0.05005735903978348,-29.861461639404297,0.6657930612564087,0.0001,-2.010010242462158,3999,0.4546872675418854,,,
50.0,-20.86548811,530,0.0,26600,83,317,0.05006774514913559,-30.51671600341797,0.6557937264442444,0.0001,-1.9967844486236572,4149,0.2853434681892395,,,
50.0,-20.94329786,540,0.0,27000,85,316,0.05006469041109085,-31.16045379638672,0.6493087410926819,0.0001,-2.1293442249298096,4249,3.4114022254943848,,,
50.0,-21.328808299999995,550,0.0,27600,87,315,0.050074007362127304,-32.01381301879883,0.6396283507347107,0.0001,-2.3332550525665283,4399,0.37758031487464905,,,
50.0,-21.191989120000002,560,0.0,28000,89,314,0.05007045716047287,-31.666698455810547,0.6332647800445557,0.0001,-2.0553689002990723,4499,5.152788162231445,,,
50.0,-21.1041727,570,0.0,28600,91,313,0.050073277205228806,-32.246788024902344,0.6237936019897461,0.0001,-2.3310861587524414,4649,0.3488394021987915,,,
50.0,-21.22380931,580,0.0,29000,92,312,0.05006737634539604,-32.6722297668457,0.6176543831825256,0.0001,-2.419159412384033,4749,0.40061771869659424,,,
50.0,-21.099284589999996,590,0.0,29600,95,311,0.05006590485572815,-32.53759002685547,0.6084792613983154,0.0001,-2.2182347774505615,4899,0.47943776845932007,,,
50.0,-20.614050699999996,600,0.0,30000,96,310,0.050073832273483276,-33.464630126953125,0.6024720072746277,0.0001,-2.775059700012207,4999,0.29063594341278076,,,
50.0,-20.82905765,610,0.0,30600,98,309,0.05008063465356827,-33.89775848388672,0.5934721827507019,0.0001,-2.834141254425049,5149,0.5043991804122925,,,
50.0,-20.435162560000002,620,0.0,31000,100,308,0.05008464679121971,-33.50773620605469,0.5875667929649353,0.0001,-2.5724520683288574,5249,0.3663463592529297,,,
50.0,-20.467563410000004,630,0.0,31600,102,307,0.05008552595973015,-34.36669921875,0.5788275003433228,0.0001,-2.5839781761169434,5399,0.3574482500553131,,,
50.0,-20.453846860000002,640,0.0,32000,104,307,0.05008406564593315,-33.50003433227539,0.5730533003807068,0.0001,-2.5545835494995117,5499,0.5193273425102234,,,
50.0,-19.78093777,650,0.0,32600,106,305,0.05008336156606674,-34.5412712097168,0.5644842982292175,0.0001,-2.758683681488037,5649,0.23522329330444336,,,
50.0,-19.755556709999997,660,0.0,33000,108,305,0.05008349567651749,-34.71689987182617,0.5588734149932861,0.0001,-2.6474761962890625,5749,2.6249732971191406,,,
50.0,-20.000917540000003,670,0.0,33600,110,304,0.050087712705135345,-35.0322265625,0.5506137013435364,0.0001,-2.8475465774536133,5899,0.2197444885969162,,,
50.0,-20.15596277,680,0.0,34000,111,304,0.05008992552757263,-34.824302673339844,0.5451443791389465,0.0001,-3.119819164276123,5999,0.5305966138839722,,,
50.0,-20.1709741,690,0.0,34600,114,303,0.05009275674819946,-34.997222900390625,0.5370583534240723,0.0001,-2.975480318069458,6149,1.5604286193847656,,,
50.0,-20.631336080000004,700,0.0,35000,115,302,0.05009731277823448,-34.75274658203125,0.5317080020904541,0.0001,-3.3552091121673584,6249,0.5752344131469727,,,
50.0,-20.51017616,710,0.0,35600,117,301,0.05009966343641281,-34.70928192138672,0.5237712860107422,0.0001,-2.9903745651245117,6399,10.400787353515625,,,
50.0,-20.789013780000005,720,0.0,36000,119,301,0.05010330677032471,-36.29845428466797,0.5185363292694092,0.0001,-4.115907669067383,6499,0.4860909581184387,,,
50.0,-20.77301895,730,0.0,36600,121,300,0.050099246203899384,-35.23298645019531,0.5108275413513184,0.0001,-3.4572508335113525,6649,3.0730786323547363,,,
50.0,-20.437943550000004,740,0.0,37000,123,300,0.050099652260541916,-35.004295349121094,0.5057392716407776,0.0001,-3.0522751808166504,6749,0.3521232604980469,,,
50.0,-20.42163024,750,0.0,37600,125,299,0.05010724067687988,-35.317203521728516,0.4982508420944214,0.0001,-3.4948253631591797,6899,0.24957861006259918,,,
50.0,-20.61954137,760,0.0,38000,127,299,0.05010718107223511,-35.79860305786133,0.4933018386363983,0.0001,-3.591423511505127,6999,6.452361106872559,,,
50.0,-20.59480317,770,0.0,38600,129,298,0.05011184141039848,-35.42535400390625,0.48593002557754517,0.0001,-3.465765953063965,7149,0.23229068517684937,,,
50.0,-20.610336829999998,780,0.0,39000,130,298,0.0501207634806633,-35.81614685058594,0.48110243678092957,0.0001,-3.8596229553222656,7249,0.217685729265213,,,
50.0,-20.57703121,790,0.0,39600,133,297,0.050117604434490204,-35.05625915527344,0.47396084666252136,0.0001,-3.6647026538848877,7399,0.20591367781162262,,,
50.0,-20.38260701,800,0.0,40000,134,296,0.05012161657214165,-35.699440002441406,0.46930235624313354,0.0001,-3.8904733657836914,7499,0.2163175791501999,,,
50.0,-20.81643489,810,0.0,40600,136,296,0.05012296885251999,-35.08317565917969,0.46230486035346985,0.0001,-3.5978546142578125,7649,0.29194676876068115,,,
50.0,-20.55228297,820,0.0,41000,138,295,0.0501212403178215,-35.49142837524414,0.4577426016330719,0.0001,-3.6926002502441406,7749,0.15581588447093964,,,
50.0,-20.68176178,830,0.0,41600,140,295,0.05012970417737961,-35.2320442199707,0.4509439766407013,0.0001,-4.037243843078613,7899,0.7586467862129211,,,
50.0,-20.924236810000004,840,0.0,42000,142,294,0.05013313144445419,-35.121910095214844,0.44642946124076843,0.0001,-4.021971702575684,7999,0.21838496625423431,,,
50.0,-21.32818404,850,0.0,42600,144,294,0.05013418197631836,-35.13771057128906,0.43984636664390564,0.0001,-4.020171165466309,8149,0.18901461362838745,,,
50.0,-21.489969140000003,860,0.0,43000,146,294,0.05013458430767059,-34.962257385253906,0.43545791506767273,0.0001,-4.05360221862793,8249,0.20821170508861542,,,
50.0,-21.264750720000002,870,0.0,43600,148,293,0.050136249512434006,-34.61901092529297,0.42893847823143005,0.0001,-3.5666537284851074,8399,0.168278306722641,,,
50.0,-20.966775000000005,880,0.0,44000,149,293,0.05014343187212944,-34.738853454589844,0.42475229501724243,0.0001,-4.291143894195557,8499,0.4082166254520416,,,
50.0,-20.88639639,890,0.0,44600,152,292,0.050144292414188385,-34.263648986816406,0.4184231460094452,0.0001,-3.6624162197113037,8649,0.16395673155784607,,,
50.0,-20.656727059999998,900,0.0,45000,153,292,0.05014529824256897,-34.6944580078125,0.41428160667419434,0.0001,-4.443967342376709,8749,0.16897515952587128,,,
50.0,-20.058755980000004,910,0.0,45600,156,292,0.0501481257379055,-33.902244567871094,0.4081171751022339,0.0001,-4.144621849060059,8899,0.14647512137889862,,,
50.0,-20.42360302,920,0.0,46000,157,291,0.05014931410551071,-34.10369110107422,0.40406152606010437,0.0001,-4.243740558624268,8999,0.1426151543855667,,,
50.0,-20.36283203,930,0.0,46600,159,291,0.05016251653432846,-34.239776611328125,0.3980640172958374,0.0001,-4.4239583015441895,9149,0.14144381880760193,,,
50.0,-20.422654570000002,940,0.0,47000,161,291,0.0501614585518837,-34.29035568237305,0.39407169818878174,0.0001,-4.771038055419922,9249,0.1393834501504898,,,
50.0,-20.26748715,950,0.0,47600,163,290,0.05015574023127556,-33.86212158203125,0.3882266879081726,0.0001,-4.896702289581299,9399,9.215250015258789,,,
50.0,-19.96213324,960,0.0,48000,165,290,0.05016423389315605,-33.428855895996094,0.384394109249115,0.0001,-4.7240800857543945,9499,0.18581333756446838,,,
50.0,-20.034443369999998,970,0.0,48600,167,289,0.050164543092250824,-33.40208435058594,0.37868085503578186,0.0001,-4.711666107177734,9649,0.13697563111782074,,,
50.0,-20.35282405,980,0.0,49000,169,289,0.05016852915287018,-33.373260498046875,0.37491220235824585,0.0001,-5.11522912979126,9749,0.15025177597999573,,,
50.0,-20.62005142,990,0.0,49600,171,289,0.050174444913864136,-33.21155548095703,0.3693304657936096,0.0001,-4.90231990814209,9899,0.201636403799057,,,
50.0,-20.917047359999998,1000,0.0,50000,173,288,0.050173185765743256,-32.8521728515625,0.36565473675727844,0.0001,-4.512966156005859,9999,0.6054425835609436,,,
50.0,-21.162575389999997,1010,0.0,50600,175,288,0.050171397626399994,-32.617034912109375,0.3601934313774109,0.0001,-4.7346882820129395,10149,0.11271955072879791,,,
50.0,-20.959352560000003,1020,0.0,51000,176,288,0.050176553428173065,-32.498741149902344,0.35663601756095886,0.0001,-4.864195346832275,10249,0.11611062288284302,,,
50.0,-20.83005567,1030,0.0,51600,179,288,0.05018186569213867,-32.575862884521484,0.35131996870040894,0.0001,-5.62502384185791,10399,0.1246819868683815,,,
