Timestep,Episode,Reward,Length,Success,Success_Rate,Best_Reward,Stage
200,1,-16.575818,50,0.0,0.0,-16.575818,0_random
400,2,-18.505893,50,0.0,0.0,-16.575818,0_random
600,3,-29.810433,50,0.0,0.0,-16.575818,0_random
800,4,-22.733415,50,0.0,0.0,-16.575818,0_random
1000,5,-18.554084,50,0.0,0.0,-16.575818,0_random
1200,6,-20.737354,50,0.0,0.0,-16.575818,0_random
1400,7,-8.013314,50,0.0,0.0,-8.013314,0_random
1600,8,-14.139914,50,0.0,0.0,-8.013314,0_random
1800,9,-23.045637,50,0.0,0.0,-8.013314,0_random
2000,10,-8.056193,50,0.0,0.0,-8.013314,0_random
2200,11,-18.365243,50,0.0,0.0,-8.013314,0_random
2400,12,-18.711385,50,0.0,0.0,-8.013314,0_random
2600,13,-17.493374,50,0.0,0.0,-8.013314,0_random
2800,14,-17.37671,50,0.0,0.0,-8.013314,0_random
3000,15,-23.206485,50,0.0,0.0,-8.013314,0_random
3200,16,-28.363419,50,0.0,0.0,-8.013314,0_random
3400,17,-19.966194,50,0.0,0.0,-8.013314,0_random
3600,18,-10.266041,50,0.0,0.0,-8.013314,0_random
3800,19,-18.987579,50,0.0,0.0,-8.013314,0_random
4000,20,-29.891196,50,0.0,0.0,-8.013314,0_random
4200,21,-20.425894,50,0.0,0.0,-8.013314,0_random
4400,22,-26.147116,50,0.0,0.0,-8.013314,0_random
4600,23,-17.205548,50,0.0,0.0,-8.013314,0_random
4800,24,-25.516189,50,0.0,0.0,-8.013314,0_random
5000,25,-19.328119,50,0.0,0.0,-8.013314,0_random
5200,26,-23.468116,50,0.0,0.0,-8.013314,0_random
5400,27,-30.444522,50,0.0,0.0,-8.013314,0_random
5600,28,-10.229299,50,0.0,0.0,-8.013314,0_random
5800,29,-24.844317,50,0.0,0.0,-8.013314,0_random
6000,30,-19.736267,50,0.0,0.0,-8.013314,0_random
6200,31,-28.659218,50,0.0,0.0,-8.013314,0_random
6400,32,-22.983316,50,0.0,0.0,-8.013314,0_random
6600,33,-23.573551,50,0.0,0.0,-8.013314,0_random
6800,34,-16.894024,50,0.0,0.0,-8.013314,0_random
7000,35,-22.427299,50,0.0,0.0,-8.013314,0_random
7200,36,-24.758022,50,0.0,0.0,-8.013314,0_random
7400,37,-23.455504,50,0.0,0.0,-8.013314,0_random
7600,38,-16.76528,50,0.0,0.0,-8.013314,0_random
7800,39,-21.239405,50,0.0,0.0,-8.013314,0_random
8000,40,-29.713558,50,0.0,0.0,-8.013314,0_random
8200,41,-24.954279,50,0.0,0.0,-8.013314,0_random
8400,42,-19.419917,50,0.0,0.0,-8.013314,0_random
8600,43,-14.1748,50,0.0,0.0,-8.013314,0_random
8800,44,-25.415848,50,0.0,0.0,-8.013314,0_random
9000,45,-26.497459,50,0.0,0.0,-8.013314,0_random
9200,46,-13.158386,50,0.0,0.0,-8.013314,0_random
9400,47,-17.60631,50,0.0,0.0,-8.013314,0_random
9600,48,-10.387137,50,0.0,0.0,-8.013314,0_random
9800,49,-18.997894,50,0.0,0.0,-8.013314,0_random
10000,50,-27.080343,50,0.0,0.0,-8.013314,0_random
10200,51,-22.068713,50,0.0,0.0,-8.013314,0_random
10400,52,-31.920092,50,0.0,0.0,-8.013314,0_random
10600,53,-25.107199,50,0.0,0.0,-8.013314,0_random
10800,54,-26.740128,50,0.0,0.0,-8.013314,0_random
11000,55,-16.800808,50,0.0,0.0,-8.013314,0_random
11200,56,-20.688824,50,0.0,0.0,-8.013314,0_random
11400,57,-23.323038,50,0.0,0.0,-8.013314,0_random
11600,58,-28.514366,50,0.0,0.0,-8.013314,0_random
11800,59,-11.304768,50,0.0,0.0,-8.013314,0_random
12000,60,-31.646937,50,0.0,0.0,-8.013314,0_random
12200,61,-19.891854,50,0.0,0.0,-8.013314,0_random
12400,62,-20.9902,50,0.0,0.0,-8.013314,0_random
12600,63,-18.345265,50,0.0,0.0,-8.013314,0_random
12800,64,-30.589135,50,0.0,0.0,-8.013314,0_random
13000,65,-19.866387,50,0.0,0.0,-8.013314,0_random
13200,66,-22.027513,50,0.0,0.0,-8.013314,0_random
13400,67,-33.149871,50,0.0,0.0,-8.013314,0_random
13600,68,-18.277677,50,0.0,0.0,-8.013314,0_random
13800,69,-23.09437,50,0.0,0.0,-8.013314,0_random
14000,70,-28.509406,50,0.0,0.0,-8.013314,0_random
14200,71,-13.934818,50,0.0,0.0,-8.013314,0_random
